Food_Name,VitaminC_mg,Potassium_mg,Carbohydrate_g,Calcium_mg,Zinc_mg,VitaminB6_mg,Protein_g,Cholesterol_mg,Energy_kcal,Riboflavin_mg,Thiamin_mg,Iron_mg,Folate_mcg,VitaminE_mg,Niacin_mg,VitaminD_mcg,VitaminB12_mcg,Fat_g,VitaminK_mcg,Magnesium_mg,Fiber_g,Sodium_mg,VitaminA_mcgRAE,Sugars_g,Food_Category,nutriscore_grade,diet_type,meal_type
 Gâteau double chocolat ,0.0,0.0,-0.0037489549462512,0.0,0.0,0.0,-0.0042218028776908,0.0934999116098552,-0.0038200253552717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038666259642163,0.0,0.0,-0.0153646286005265,-0.0039546076517084,0.0,0.0831833053666948,0,a,vegan,"lunch,dinner"
%100 Pure Corn Starch,0.0,0.0,-0.0029625766604286,0.0,0.0,0.0,-0.0045263713967612,-0.0335274774927566,-0.0038419910575018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041260905838499,0.0,0.0,-0.0414669873511698,-0.0039556323775576,0.0,-0.0857429779267332,0,a,vegan,"lunch,dinner"
&gt;curcuma - 60 G?lules - Solgar,0.0,0.0,-0.004533585724772,0.0,0.0,0.0,-0.0045141886559984,-0.0335274774927566,-0.0046085940653332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041246491137408,0.0,0.0,-0.0192462906824244,-0.0039556323775576,0.0,-0.0851173250256464,0,a,vegan,"lunch,dinner"
&quot;Baguette Lyonnais&quot;,0.0,0.0,-0.0038188552383243,0.0,0.0,0.0,-0.003764950099085,-0.0335274774927566,-0.0039737852708825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039905923935968,0.0,0.0,-0.0192462906824244,-0.0039545949723109,0.0,-0.0732299199049978,0,a,vegan,"lunch,dinner"
&quot;Celles Sur Belle Butter,0.0,0.0,-0.0045353332320739,0.0,0.0,0.0,-0.0045263713967612,-0.0335274774927566,-0.0028849140317606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028905447760708,0.0,0.0,-0.0192462906824244,-0.0039556323775576,0.0,-0.0857429779267332,0,a,vegetarian,"lunch,dinner"
&quot;This Blueberry Walks Into a Bar...&quot;,0.0,0.0,-0.0032601252010101,0.0,0.0,0.0,-0.0041971081329013,-0.0335274774927566,-0.0038390227193626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040286939548583,0.0,0.0,-0.0061935295800303,-0.0039550093113434,0.0,0.2186287036830467,0,a,vegan,"lunch,dinner"
'Nduja Tipo & Miele Piccante Pizza,0.0,0.0,-0.0040504757148036,0.0,0.0,0.0,-0.0039630076620644,0.0105282643925421,-0.0041029131273452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039927754292533,0.0,0.0,-0.0112908500671891,-0.0039541165799107,0.0,-0.0568110518649172,0,a,vegan,"lunch,dinner"
'Old Times' Orange Fine Cut Marmalade,0.0,0.0,-0.003364503339849,0.0,0.0,0.0,-0.0045263713967612,-0.0335274774927566,-0.0040199132455658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041260905838499,0.0,0.0,-0.0192462906824244,-0.0039556323775576,0.0,0.3271879367905353,0,a,vegan,"lunch,dinner"
'Prodhead'&gt;chilli Paste With Oil,0.0,0.0,-0.0037489549462512,0.0,0.0,0.0,-0.0041243409515882,-0.0335274774927566,-0.0037321625463512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038377965620348,0.0,0.0,-0.0192462906824244,-0.0039534422998146,0.0,0.1958008275623135,0,a,vegan,"lunch,dinner"
'Prodhead'&gt;yellow Curry Paste,0.0,0.0,-0.0042207819177448,0.0,0.0,0.0,-0.0042948993251723,-0.0335274774927566,-0.0043164502256725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040655488420181,0.0,0.0,0.0786038629017893,-0.0039398407643578,0.0,-0.0275572569323251,0,a,vegan,"lunch,dinner"
'Reese''s Cups 3pieces Beurre De Cacahuètes',0.0,0.0,-0.0036301244497269,0.0,0.0,0.0,-0.003868503395569,-0.0335274774927566,-0.0034158564342373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036792348500365,0.0,0.0,-0.0192462906824244,-0.0039548255068102,0.0,0.2277091255177388,0,a,vegan,"lunch,dinner"
'Tiptree' Barbecue Sauce,0.0,0.0,-0.0037314798732329,0.0,0.0,0.0,-0.0044471835818029,-0.0335274774927566,-0.0041561005993926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041260905838499,0.0,0.0,-0.0192462906824244,-0.0039537881015635,0.0,0.1958008275623135,0,a,vegan,"lunch,dinner"
(Barcode clash) Sainsbury's fine asparagus / M&S chicken,0.0,0.0,-0.0045021305933391,0.0,0.0,0.0,-0.0043497216557004,-0.0335274774927566,-0.0045493657458399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041174417631954,0.0,0.0,-0.019279982413123,-0.0039556208508327,0.0,-0.0744812257071713,0,a,vegan,"lunch,dinner"
", Sausage, Egg, And Cheese Croissant",0.0,0.0,-0.0041940232121856,0.0,0.0,0.0,-0.0038601277612945,0.1848008475273575,-0.0040101659652012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038895993940797,0.0,0.0,-0.0312707534641998,-0.0039538313267821,0.0,-0.0661913247677716,0,a,non_vegetarian,"lunch,dinner"
0% FAT Greek style blueberry & Raspberry yogurt,0.0,0.0,-0.0042749546441015,0.0,0.0,0.0,-0.0042339856184536,-0.0335274774927566,-0.0043889370430319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040943782414502,0.0,0.0,-0.0245004541632517,-0.0039555401637579,0.0,-0.0338137871365312,0,b,vegetarian,"lunch,dinner"
0% Fat Free Ultra-Filtered Milk,0.0,0.0,-0.0044770829886796,0.0,0.0,0.0,-0.0041710414578457,-0.0229418617342058,-0.0045284192521932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041260905838499,0.0,0.0,-0.0414669873511698,-0.0039555363215163,0.0,-0.0674947683117023,0,c,vegetarian,"lunch,dinner"
0% Fat Greek Nonfat Yogurt,0.0,0.0,-0.0043139240569322,0.0,0.0,0.0,-0.003998249584693,-0.0157436430183909,-0.0044350650177152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041260905838499,0.0,0.0,-0.0323311617884447,-0.003955535760549,0.0,-0.0106646297963207,0,b,vegetarian,"lunch,dinner"
0% Fat Greek Style Live Yoghurt with Honey,0.0,0.0,-0.0042574795710832,0.0,0.0,0.0,-0.0041669805442581,-0.0335274774927566,-0.004410902745262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041203247034136,0.0,0.0,-0.034941397663509,-0.0039554623583644,0.0,-0.0025311420821927,0,b,vegetarian,"lunch,dinner"
0% Fat Greek Style Yogurt,0.0,0.0,-0.0044007751698331,0.0,0.0,0.0,-0.0041487064331138,-0.0335274774927566,-0.0044789964221754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041203247034136,0.0,0.0,-0.0362465156010412,-0.0039554825301331,0.0,-0.0444498864550063,0,c,vegetarian,"lunch,dinner"
0% Fat free milk,0.0,0.0,-0.0044406765865582,0.0,0.0,0.0,-0.0042979450074584,-0.0335274774927566,-0.0045284192521932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040540170783961,0.0,0.0,-0.0192462906824244,-0.0039549061938849,0.0,-0.0563004884638263,0,a,vegetarian,"lunch,dinner"
